Image; Méthode; Contours Détectés; Contours Référence; Contours correct; Faux positif; Faux négatifs; Performance; Taux de faux positif; Taux de faux négatif; Meilleur Blur; Meilleur param; Meilleur Seuil
goat_7.pgm; SOBEL; 5185; 4638; 1194; 3991; 3444; 0.138371; 0.46251; 0.399119; 1; 1; 156
; LAPLACE; 3922; 4638; 1643; 2279; 2995; 0.237531; 0.329478; 0.432991; 1; 1; 97
; CANNY; 3542; 4638; 2285; 1257; 2353; 0.387617; 0.213232; 0.399152; 15; 92; Undefined

bear_7.pgm; SOBEL; 5994; 3302; 635; 5359; 2667; 0.0733172; 0.618751; 0.307932; 29; 4; 161
; LAPLACE; 10184; 3302; 1336; 8848; 1966; 0.109959; 0.72823; 0.161811; 3; 5; 35
; CANNY; 4151; 3302; 1365; 2786; 1937; 0.224212; 0.457622; 0.318167; 29; 38; Undefined

turtle.pgm; SOBEL; 4662; 4217; 1927; 2735; 2290; 0.277186; 0.393412; 0.329402; 1; 2; 154
; LAPLACE; 2941; 4217; 1804; 1137; 2413; 0.336944; 0.212365; 0.450691; 1; 1; 145
; CANNY; 5299; 4217; 2749; 2550; 1468; 0.406236; 0.376829; 0.216935; 13; 38; Undefined

bear_5.pgm; SOBEL; 1867; 2846; 695; 1172; 2151; 0.172972; 0.291687; 0.535341; 5; 2; 136
; LAPLACE; 3207; 2846; 744; 2463; 2102; 0.140139; 0.463929; 0.395931; 5; 5; 45
; CANNY; 2331; 2846; 1269; 1062; 1577; 0.324719; 0.27175; 0.403531; 17; 48; Undefined

elephants.pgm; SOBEL; 5573; 6221; 2873; 2700; 3348; 0.322049; 0.302657; 0.375294; 1; 2; 155
; LAPLACE; 5125; 6221; 3419; 1706; 2802; 0.431311; 0.215214; 0.353475; 1; 2; 125
; CANNY; 6469; 6221; 4346; 2123; 1875; 0.520853; 0.254434; 0.224712; 15; 36; Undefined

golfcart.pgm; SOBEL; 6900; 11377; 4493; 2407; 6884; 0.325958; 0.174623; 0.49942; 1; 1; 167
; LAPLACE; 9836; 11377; 6639; 3197; 4738; 0.455537; 0.219363; 0.325099; 1; 1; 143
; CANNY; 7933; 11377; 7002; 931; 4375; 0.568898; 0.0756419; 0.35546; 7; 96; Undefined

buffalo.pgm; SOBEL; 10094; 11292; 4538; 5556; 6754; 0.269349; 0.329772; 0.400878; 1; 1; 148
; LAPLACE; 10009; 11292; 4934; 5075; 6358; 0.30146; 0.310075; 0.388465; 3; 2; 79
; CANNY; 8052; 11292; 7051; 1001; 4241; 0.573578; 0.0814285; 0.344993; 9; 96; Undefined

elephants_2.pgm; SOBEL; 5890; 7559; 2719; 3171; 4840; 0.253402; 0.295527; 0.451072; 1; 1; 178
; LAPLACE; 8116; 7559; 3547; 4569; 4012; 0.292464; 0.376732; 0.330805; 1; 1; 123
; CANNY; 6163; 7559; 4223; 1940; 3336; 0.444573; 0.204232; 0.351195; 11; 54; Undefined

brush.pgm; SOBEL; 11045; 8633; 3618; 7427; 5015; 0.22528; 0.462453; 0.312266; 1; 4; 142
; LAPLACE; 11207; 8633; 4592; 6615; 4041; 0.301154; 0.433827; 0.265018; 1; 3; 75
; CANNY; 18594; 8633; 6519; 12075; 2114; 0.314806; 0.583108; 0.102086; 7; 30; Undefined

buffalo_2.pgm; SOBEL; 7812; 6778; 2686; 5126; 4092; 0.225638; 0.430612; 0.34375; 1; 1; 152
; LAPLACE; 8452; 6778; 3257; 5195; 3521; 0.272029; 0.433893; 0.294078; 1; 1; 81
; CANNY; 6162; 6778; 3468; 2694; 3310; 0.366132; 0.284417; 0.349451; 9; 98; Undefined

gnu_2.pgm; SOBEL; 4002; 5059; 1367; 2635; 3692; 0.177671; 0.342475; 0.479854; 1; 1; 185
; LAPLACE; 5215; 5059; 1772; 3443; 3287; 0.208422; 0.404964; 0.386615; 1; 3; 63
; CANNY; 3696; 5059; 2460; 1236; 2599; 0.390786; 0.196346; 0.412867; 21; 44; Undefined

goat_2.pgm; SOBEL; 9241; 6353; 2258; 6983; 4095; 0.169316; 0.52362; 0.307064; 1; 1; 162
; LAPLACE; 11907; 6353; 3092; 8815; 3261; 0.20385; 0.581158; 0.214992; 1; 1; 103
; CANNY; 6952; 6353; 3275; 3677; 3078; 0.32652; 0.3666; 0.306879; 9; 88; Undefined

goat_3.pgm; SOBEL; 3153; 3803; 1203; 1950; 2600; 0.209108; 0.338954; 0.451938; 1; 1; 164
; LAPLACE; 2979; 3803; 1522; 1457; 2281; 0.289354; 0.276996; 0.43365; 1; 1; 127
; CANNY; 2685; 3803; 1637; 1048; 2166; 0.337456; 0.216038; 0.446506; 11; 86; Undefined

tiger.pgm; SOBEL; 5036; 4770; 1928; 3108; 2842; 0.244732; 0.394516; 0.360751; 1; 1; 178
; LAPLACE; 6768; 4770; 1518; 5250; 3252; 0.151497; 0.523952; 0.324551; 1; 2; 85
; CANNY; 4972; 4770; 2650; 2322; 2120; 0.37366; 0.327411; 0.298928; 7; 88; Undefined

elephant.pgm; SOBEL; 10440; 11035; 4560; 5880; 6475; 0.269583; 0.34762; 0.382796; 1; 1; 184
; LAPLACE; 10610; 11035; 5418; 5192; 5617; 0.333888; 0.319961; 0.346151; 1; 1; 161
; CANNY; 8124; 11035; 6852; 1272; 4183; 0.556756; 0.103356; 0.339888; 11; 58; Undefined

rino_2.pgm; SOBEL; 17464; 5692; 2497; 14967; 3195; 0.120867; 0.724478; 0.154654; 1; 2; 140
; LAPLACE; 6597; 5692; 2192; 4405; 3500; 0.217094; 0.436268; 0.346638; 1; 1; 85
; CANNY; 5141; 5692; 3043; 2098; 2649; 0.390629; 0.26932; 0.340051; 19; 52; Undefined

